Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 49 Epsilon ;275215; перенесён                                     ; forZe 22 ;581392;Первая команда;Гипотеза верна
 32 Tricked ;566861;   1 : 2   ; Nordavind 57 ;267421;Вторая команда;Гипотеза верна
 57 Nordavind ;819142;   2 : 0   ; Vega 51 ;306833;Вторая команда;Гипотеза не верна
 136 Team Reapers ;181316;   2 : 1   ; Red Canids 133 ;64914;Вторая команда;Гипотеза верна
 null Single Daddy ;21405;   0 : 2   ; Red Canids 133 ;190099;Вторая команда;Гипотеза верна
 32 Tricked ;83132;   2 : 1   ; Copenhagen Flames 68 ;24696;Первая команда;Гипотеза верна
 39 Aristocracy ;185011;   0 : 2   ; VP 41 ;90554;Вторая команда;Гипотеза верна
 4 Vitality ;2600376;   1 : 3   ; Liquid 2 ;4328199;Первая команда;Гипотеза не верна
 115 Besiktas ;84449;   2 : 1   ; CLG Red 101 ;33117;Первая команда;Гипотеза верна
 41 VP ;353127;   2 : 0   ; AGO 43 ;120099;Вторая команда;Гипотеза не верна
 null Demise fe ;24239;   0 : 2   ; CLG Red 101 ;75193;Первая команда;Гипотеза верна
 110 AVEZ ;16506;   0 : 2   ; Aristocracy 39 ;225564;Первая команда;Гипотеза верна
 115 Besiktas ;116771;   2 : 0   ; dignitas fe null ;50407;Первая команда;Гипотеза не верна
 99 Big 5 ;231553;   3 : 1   ; Energy 119 ;117025;Первая команда;Гипотеза верна
 136 Team Reapers ;569096; отменен                                     ; VirtuaFX null ;64835;Первая команда;Гипотеза верна
 43 AGO ;83005;   2 : 0   ; Izako Boars 65 ;213715;Вторая команда;Гипотеза верна
 2 Liquid ;4448883;   2 : 0   ; Na'Vi 3 ;2976861;Первая команда;Гипотеза верна
 null Defusekids ;175;   0 : 2   ; PACT 72 ;796;Первая команда;Гипотеза верна
 101 CLG Red ;6740;   2 : 0   ; FOREVER 21 null ;1294;Вторая команда;Гипотеза верна
 null BlueJays ;7074;   0 : 2   ; Fierce 85 ;3659;Первая команда;Гипотеза не верна
 41 VP ;98312;   2 : 1   ; ex-Wista Plock null ;11468;Первая команда;Гипотеза верна
 null dignitas fe ;14508;   2 : 0   ; Copenhagen Flames fe null ;31886;Первая команда;Гипотеза верна
 1 Astralis ;3964820;   1 : 2   ; Vitality 4 ;1376981;Первая команда;Гипотеза не верна
 18 Tyloo ;190147;   2 : 1   ; BTRG null ;39542;Вторая команда;Гипотеза не верна
 null 7PM.female ;5281;   0 : 2   ; FOREVER 21 null ;61233;Первая команда;Гипотеза не верна
 null LOG ;6323;   0 : 2   ; Fierce 85 ;38972;Вторая команда;Гипотеза верна
 null BlueJays ;64189;   2 : 0   ; Defusekids null ;22134;Вторая команда;Гипотеза верна
 null Universe ;61911;   0 : 2   ; LDLC 64 ;174507;Вторая команда;Гипотеза не верна
 39 Aristocracy ;282314;   2 : 0   ; KGG null ;9299;Первая команда;Гипотеза не верна
 null Orange.Sphynx ;20713;   0 : 2   ; Copenhagen Flames fe null ;331898;Первая команда;Гипотеза не верна
 null Orange.Sphynx ;19; отменен                                     ; CPH Flames null ;7099;Первая команда;Гипотеза верна
 124 Warriors ;196708;   0 : 2   ; AVEZ 110 ;287979;Вторая команда;Гипотеза верна
 null Black Dragons ;399479;   2 : 1   ; 3xTeam null ;63391;Вторая команда;Гипотеза не верна
 84 paiN ;506953; отменен                                     ; Intic 120 ;46394;Вторая команда;Гипотеза верна
 3 Na'Vi ;5211015;   2 : 0   ; NiP 14 ;1733250;Вторая команда;Гипотеза верна
 115 Besiktas ;246362;   16 : 8   ; CLG Red 101 ;298772;Первая команда;Гипотеза верна
 null dignitas fe ;70309;   23 : 25   ; Demise fe null ;20479;Вторая команда;Гипотеза верна
 8 NRG ;2766609;   0 : 2   ; Vitality 4 ;3223646;Первая команда;Гипотеза не верна
 101 CLG Red ;74939;   16 : 9   ; FOREVER 21 null ;16008;Первая команда;Гипотеза верна
 null Copenhagen Flames fe ;596073;   12 : 16   ; Demise fe null ;93979;Вторая команда;Гипотеза не верна
 115 Besiktas ;507718;   16 : 3   ; 7PM.female null ;60244;Первая команда;Гипотеза верна
 null dignitas fe ;492695;   16 : 2   ; Orange.Sphynx null ;74402;Первая команда;Гипотеза верна
 null EXEC ;22462;   14 : 16   ; NONAME null ;79303;Первая команда;Гипотеза не верна
 null Jaguar ;156791;   16 : 8   ; Artyk null ;19093;Первая команда;Гипотеза верна
 96 Furious ;65916; отменен                                     ; Alma null ;24255;Первая команда;Гипотеза верна
 104 Rejected ;137554; отменен                                     ; INTZ.Academy 141 ;66720;Вторая команда;Гипотеза верна
 136 Team Reapers ;36106;   2 : 0   ; Gansos null ;7654;Первая команда;Гипотеза верна
 84 paiN ;380976;   11 : 16   ; Isurus 73 ;406422;Первая команда;Гипотеза верна
 88 Keyd ;164957; перенесён                                     ; Isurus 73 ;602497;Вторая команда;Гипотеза верна
 15 Heroic ;497055;   0 : 2   ; Vitality 4 ;1509315;Первая команда;Гипотеза верна
 1 Astralis ;2371234;   2 : 0   ; NiP 14 ;352898;Первая команда;Гипотеза верна
 2 Liquid ;2338840;   2 : 0   ; NRG 8 ;895924;Первая команда;Гипотеза не верна
 5 mousesports ;1289518;   1 : 2   ; Na'Vi 3 ;1267900;Вторая команда;Гипотеза не верна
 4 Vitality ;1962900;   2 : 0   ; Fnatic 7 ;692961;Первая команда;Гипотеза не верна
 24 BIG ;983845;   0 : 2   ; Heroic 15 ;1304060;Вторая команда;Гипотеза верна
 null Divine Soldiers ;48146;   16 : 12   ; DStreet null ;24602;Вторая команда;Гипотеза верна
 null Anunnaki ;1895; отменен                                     ; Infinity (colomb) null ;8926;Вторая команда;Гипотеза не верна
 133 Red Canids ;1258637;   2 : 0   ; Isurus fe 137 ;142468;Первая команда;Гипотеза не верна
 84 paiN ;15082; отменен                                     ; Intic 120 ;1415;Первая команда;Гипотеза не верна
 141 INTZ.Academy ;8438; отменен                                     ; Isurus 73 ;26979;Первая команда;Гипотеза верна
 73 Isurus ;472740;   16 : 2   ; Redemption POA 138 ;79741;Вторая команда;Гипотеза верна
 13 FURIA ;1377623;   0 : 2   ; Na'Vi 3 ;3006565;Вторая команда;Гипотеза не верна
 15 Heroic ;828627;   0 : 2   ; NiP 14 ;832305;Вторая команда;Гипотеза верна
 5 mousesports ;1587486;   2 : 0   ; FaZe 12 ;633591;Вторая команда;Гипотеза верна
 1 Astralis ;796225;   2 : 0   ; Fnatic 7 ;220204;Первая команда;Гипотеза верна
 6 Ence ;1190955;   1 : 2   ; Vitality 4 ;1479204;Вторая команда;Гипотеза верна
 24 BIG ;242350;   2 : 1   ; mibr 17 ;612477;Первая команда;Гипотеза не верна
 null EXEC ;43127; отменен                                     ; Artyk null ;64336;Первая команда;Гипотеза верна
 null Jaguar ;141572;   16 : 7   ; NONAME null ;59886;Вторая команда;Гипотеза не верна
 88 Keyd ;41511;   4 : 16   ; EOX 86 ;17398;Первая команда;Гипотеза верна
 127 W7M ;28558;   16 : 13   ; Redemption POA 138 ;13805;Первая команда;Гипотеза верна
 73 Isurus ;3712; перенесён                                     ; Team Reapers 136 ;4910;Первая команда;Гипотеза не верна
 84 paiN ;29909; перенесён                                     ; INTZ.Academy 141 ;7834;Первая команда;Гипотеза верна
 8 NRG ;2390774;   2 : 0   ; FaZe 12 ;1486729;Первая команда;Гипотеза верна
 13 FURIA ;115791;   2 : 0   ; Renegades 16 ;169367;Вторая команда;Гипотеза верна
 3 Na'Vi ;1229709;   1 : 2   ; Liquid 2 ;2336643;Первая команда;Гипотеза верна
 5 mousesports ;877611;   2 : 0   ; MVP PK 34 ;134437;Первая команда;Гипотеза верна
 4 Vitality ;1910278;   10 : 16   ; NiP 14 ;982648;Вторая команда;Гипотеза верна
 15 Heroic ;201893;   16 : 10   ; Ence 6 ;460281;Первая команда;Гипотеза верна
 17 mibr ;2190369;   11 : 16   ; Fnatic 7 ;1713321;Первая команда;Гипотеза верна
 1 Astralis ;796350;   16 : 4   ; BIG 24 ;182147;Первая команда;Гипотеза не верна
 13 FURIA ;698626;   7 : 16   ; NRG 8 ;958951;Вторая команда;Гипотеза не верна
 12 FaZe ;1947301;   16 : 14   ; Renegades 16 ;1664552;Первая команда;Гипотеза не верна
 3 Na'Vi ;2280083;   16 : 14   ; mousesports 5 ;2291702;Вторая команда;Гипотеза верна
 2 Liquid ;830078;   16 : 14   ; MVP PK 34 ;118429;Вторая команда;Гипотеза верна
 null Anunnaki ;4644;   16 : 9   ; Divine Soldiers null ;8618;Вторая команда;Гипотеза не верна
 null Anunnaki ;5268; отменен                                     ; Volta7 null ;962;Первая команда;Гипотеза не верна
 null Infinity (colomb) ;123456;   16 : 3   ; DStreet null ;17831;Первая команда;Гипотеза не верна
 61 Lazarus ;640383;   2 : 1   ; New Identity 82 ;326667;Первая команда;Гипотеза верна
 42 Nemiga ;1075578;   0 : 2   ; Epsilon 49 ;658157;Вторая команда;Гипотеза верна
 31 Ancient ;326294;   0 : 2   ; NoChance 33 ;166111;Вторая команда;Гипотеза не верна
 22 forZe ;974708;   2 : 1   ; Aristocracy 39 ;634299;Вторая команда;Гипотеза верна
 33 NoChance ;700137;   0 : 2   ; Nordavind 57 ;462025;Вторая команда;Гипотеза верна
 71 ATK ;62883;   0 : 2   ; Lazarus 61 ;223955;Первая команда;Гипотеза верна
 76 DETONA ;673819;   1 : 2   ; paiN 84 ;387832;Вторая команда;Гипотеза верна
 68 Copenhagen Flames ;460415;   2 : 0   ; DreamEaters 52 ;407540;Первая команда;Гипотеза не верна
 102 Bushido Boyz ;12502;   2 : 0   ; Big Frames null ;5353;Первая команда;Гипотеза верна
 33 NoChance ;144559;   1 : 2   ; Tricked 32 ;99482;Вторая команда;Гипотеза не верна
 52 DreamEaters ;103103;   2 : 1   ; BlueJays null ;45264;Первая команда;Гипотеза верна
 42 Nemiga ;126692;   2 : 1   ; forZe 22 ;468693;Первая команда;Гипотеза верна
 null Big Frames ;19758;   2 : 0   ; The Home of the Grave null ;4762;Первая команда;Гипотеза не верна
 68 Copenhagen Flames ;105281;   0 : 2   ; Epsilon 49 ;99572;Первая команда;Гипотеза верна
 null Signify ;87845;   2 : 0   ; Entity null ;21731;Первая команда;Гипотеза верна
 33 NoChance ;566511;   2 : 0   ; ALTERNATE aTTaX 54 ;122050;Вторая команда;Гипотеза верна
 32 Tricked ;177656;   2 : 1   ; Izako Boars 65 ;36911;Первая команда;Гипотеза верна
 null Rhein Neckar ;69839;   2 : 0   ; WarKidZ null ;40938;Первая команда;Гипотеза верна
 49 Epsilon ;127552;   2 : 1   ; BlueJays null ;11139;Первая команда;Гипотеза верна
 null Wings ;37001;   0 : 2   ; Entity null ;91315;Первая команда;Гипотеза верна
 null plan-B ;58430;   1 : 2   ; WarKidZ null ;28724;Первая команда;Гипотеза не верна
 null Signify ;80779;   2 : 0   ; Global null ;23636;Вторая команда;Гипотеза не верна
 118 Thunder Logic ;3634;   1 : 2   ; Bushido Boyz 102 ;2164;Первая команда;Гипотеза не верна
 127 W7M ;261637;   0 : 2   ; paiN 84 ;330187;Вторая команда;Гипотеза верна
 69 Unicorns of Love ;763; отменен                                     ; Tricked 32 ;4907;Вторая команда;Гипотеза верна
 76 DETONA ;60339;   2 : 0   ; Keyd 88 ;33405;Вторая команда;Гипотеза не верна
 15 Heroic ;1235728;   1 : 2   ; forZe 22 ;874735;Первая команда;Гипотеза не верна
 72 PACT ;14036;   0 : 2   ; Izako Boars 65 ;7456;Первая команда;Гипотеза не верна
 32 Tricked ;94344;   2 : 0   ; Dracarys 112 ;9138;Первая команда;Гипотеза верна
 33 NoChance ;103260;   2 : 0   ; Movistar Riders 37 ;75693;Вторая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;36139;   2 : 0   ; Warriors 124 ;6402;Вторая команда;Гипотеза не верна
 22 forZe ;857433;   2 : 0   ; OpTic 20 ;683819;Вторая команда;Гипотеза верна
 52 DreamEaters ;151770;   1 : 2   ; Copenhagen Flames 68 ;89883;Вторая команда;Гипотеза верна
